County,WeekStartDate,NewPos_All,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Klickitat County,2020-05-03,3,1,0,2,0,0,0,2020/07/12 15:04:56
Klickitat County,2020-05-10,1,0,0,0,1,0,0,2020/07/12 15:04:56
Klickitat County,2020-05-17,1,0,1,0,0,0,0,2020/07/12 15:04:56
Klickitat County,2020-05-24,3,1,1,1,0,0,0,2020/07/12 15:04:56
Klickitat County,2020-05-31,15,1,7,3,4,0,0,2020/07/12 15:04:56
Klickitat County,2020-06-07,8,3,3,2,0,0,0,2020/07/12 15:04:56
Klickitat County,2020-06-14,5,1,0,3,1,0,0,2020/07/12 15:04:56
Klickitat County,2020-06-21,10,3,3,2,2,0,0,2020/07/12 15:04:56
Klickitat County,2020-06-28,11,4,2,4,0,1,0,2020/07/12 15:04:56
Lewis County,2020-03-08,3,0,1,1,0,1,0,2020/07/12 15:04:56
Lewis County,2020-03-15,10,0,2,2,4,2,0,2020/07/12 15:04:56
Lewis County,2020-03-22,4,0,1,0,2,1,0,2020/07/12 15:04:56
Lewis County,2020-03-29,2,0,0,1,1,0,0,2020/07/12 15:04:56
Lewis County,2020-04-05,3,0,1,1,1,0,0,2020/07/12 15:04:56
Lewis County,2020-04-12,1,0,1,0,0,0,0,2020/07/12 15:04:56
Lewis County,2020-04-19,5,0,0,2,3,0,0,2020/07/12 15:04:56
Lewis County,2020-04-26,1,0,0,1,0,0,0,2020/07/12 15:04:56
Lewis County,2020-05-03,1,0,0,1,0,0,0,2020/07/12 15:04:56
Lewis County,2020-05-10,4,0,1,3,0,0,0,2020/07/12 15:04:56
Lewis County,2020-05-24,2,0,1,1,0,0,0,2020/07/12 15:04:56
Lewis County,2020-06-07,5,0,1,1,2,1,0,2020/07/12 15:04:56
Lewis County,2020-06-14,17,0,11,6,0,0,0,2020/07/12 15:04:56
Lewis County,2020-06-21,19,1,7,9,2,0,0,2020/07/12 15:04:56
Lewis County,2020-06-28,8,1,5,1,1,0,0,2020/07/12 15:04:56
Lewis County,2020-07-05,9,1,5,0,1,2,0,2020/07/12 15:04:56
Mason County,2020-03-01,1,0,0,0,1,0,0,2020/07/12 15:04:56
Mason County,2020-03-08,1,0,0,0,1,0,0,2020/07/12 15:04:56
Mason County,2020-03-15,7,0,1,3,2,1,0,2020/07/12 15:04:56
Mason County,2020-03-22,6,0,0,3,3,0,0,2020/07/12 15:04:56
Mason County,2020-03-29,5,0,1,2,2,0,0,2020/07/12 15:04:56
Mason County,2020-04-12,3,0,0,2,1,0,0,2020/07/12 15:04:56
Mason County,2020-04-19,2,0,2,0,0,0,0,2020/07/12 15:04:56
Mason County,2020-04-26,4,0,2,1,0,1,0,2020/07/12 15:04:56
Mason County,2020-05-03,2,0,1,0,1,0,0,2020/07/12 15:04:56
Mason County,2020-05-10,3,0,1,2,0,0,0,2020/07/12 15:04:56
Mason County,2020-05-17,2,0,1,0,1,0,0,2020/07/12 15:04:56
Mason County,2020-05-24,2,0,0,2,0,0,0,2020/07/12 15:04:56
Mason County,2020-05-31,2,1,0,1,0,0,0,2020/07/12 15:04:56
Mason County,2020-06-07,2,0,0,0,2,0,0,2020/07/12 15:04:56
Mason County,2020-06-14,3,0,2,1,0,0,0,2020/07/12 15:04:56
Mason County,2020-06-21,8,0,3,5,0,0,0,2020/07/12 15:04:56
Mason County,2020-06-28,7,0,2,3,2,0,0,2020/07/12 15:04:56
Okanogan County,2020-03-08,3,0,0,2,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-03-15,1,0,0,0,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-03-22,4,1,1,0,2,0,0,2020/07/12 15:04:56
Okanogan County,2020-03-29,4,2,1,1,0,0,0,2020/07/12 15:04:56
Okanogan County,2020-04-05,2,1,0,1,0,0,0,2020/07/12 15:04:56
Okanogan County,2020-04-12,3,0,0,2,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-04-19,6,0,2,2,2,0,0,2020/07/12 15:04:56
Okanogan County,2020-04-26,1,1,0,0,0,0,0,2020/07/12 15:04:56
Okanogan County,2020-05-03,11,0,7,3,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-05-10,9,4,4,1,0,0,0,2020/07/12 15:04:56
Okanogan County,2020-05-17,2,1,1,0,0,0,0,2020/07/12 15:04:56
Okanogan County,2020-05-24,9,1,5,3,0,0,0,2020/07/12 15:04:56
Okanogan County,2020-05-31,11,3,2,4,2,0,0,2020/07/12 15:04:56
Okanogan County,2020-06-07,11,1,2,4,4,0,0,2020/07/12 15:04:56
Okanogan County,2020-06-14,9,0,6,0,3,0,0,2020/07/12 15:04:56
Okanogan County,2020-06-21,23,1,17,4,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-06-28,48,11,27,7,3,0,0,2020/07/12 15:04:56
Okanogan County,2020-07-05,46,5,19,20,2,0,0,2020/07/12 15:04:56
Pacific County,2020-03-29,2,0,1,0,1,0,0,2020/07/12 15:04:56
Pacific County,2020-04-05,1,0,0,1,0,0,0,2020/07/12 15:04:56
Pacific County,2020-04-19,1,0,0,0,1,0,0,2020/07/12 15:04:56
Pacific County,2020-04-26,2,0,0,2,0,0,0,2020/07/12 15:04:56
Pacific County,2020-05-03,3,0,1,2,0,0,0,2020/07/12 15:04:56
Pacific County,2020-05-31,1,0,0,1,0,0,0,2020/07/12 15:04:56
Pacific County,2020-06-07,2,0,2,0,0,0,0,2020/07/12 15:04:56
Pacific County,2020-06-21,6,2,3,1,0,0,0,2020/07/12 15:04:56
Pend Oreille County,2020-03-15,1,0,0,0,0,1,0,2020/07/12 15:04:56
Pend Oreille County,2020-04-05,1,0,0,1,0,0,0,2020/07/12 15:04:56
Pend Oreille County,2020-05-17,1,0,1,0,0,0,0,2020/07/12 15:04:56
Pend Oreille County,2020-06-21,3,0,1,0,2,0,0,2020/07/12 15:04:56
Pend Oreille County,2020-06-28,2,1,0,1,0,0,0,2020/07/12 15:04:56
Pend Oreille County,2020-07-05,1,0,1,0,0,0,0,2020/07/12 15:04:56
Pierce County,2020-02-16,2,0,1,1,0,0,0,2020/07/12 15:04:56
Pierce County,2020-02-23,11,2,1,6,2,0,0,2020/07/12 15:04:56
Pierce County,2020-03-01,38,0,7,14,16,1,0,2020/07/12 15:04:56
Pierce County,2020-03-08,104,4,26,36,31,7,0,2020/07/12 15:04:56
Pierce County,2020-03-15,224,7,67,86,58,6,0,2020/07/12 15:04:56
Pierce County,2020-03-22,242,6,62,101,62,11,0,2020/07/12 15:04:56
Pierce County,2020-03-29,281,10,87,92,68,24,0,2020/07/12 15:04:56
Pierce County,2020-04-05,188,13,55,72,35,13,0,2020/07/12 15:04:56
Pierce County,2020-04-12,198,3,52,86,47,10,0,2020/07/12 15:04:56
Pierce County,2020-04-19,162,12,50,63,26,11,0,2020/07/12 15:04:56
Pierce County,2020-04-26,154,15,57,57,19,6,0,2020/07/12 15:04:56
Pierce County,2020-05-03,145,11,48,51,24,11,0,2020/07/12 15:04:56
Pierce County,2020-05-10,99,12,34,32,11,10,0,2020/07/12 15:04:56
Pierce County,2020-05-17,82,7,27,22,18,8,0,2020/07/12 15:04:56
Pierce County,2020-05-24,91,9,41,26,8,7,0,2020/07/12 15:04:56
Pierce County,2020-05-31,90,13,37,24,12,4,0,2020/07/12 15:04:56
Pierce County,2020-06-07,104,9,52,31,9,3,0,2020/07/12 15:04:56
Pierce County,2020-06-14,193,20,101,42,20,10,0,2020/07/12 15:04:56
Pierce County,2020-06-21,232,14,137,53,18,10,0,2020/07/12 15:04:56
Pierce County,2020-06-28,308,39,167,63,25,11,3,2020/07/12 15:04:56
Pierce County,2020-07-05,237,44,127,48,12,5,1,2020/07/12 15:04:56
San Juan County,2020-03-08,1,0,0,1,0,0,0,2020/07/12 15:04:56
San Juan County,2020-03-15,3,0,0,2,1,0,0,2020/07/12 15:04:56
San Juan County,2020-03-22,3,0,0,2,1,0,0,2020/07/12 15:04:56
San Juan County,2020-03-29,6,0,0,4,1,1,0,2020/07/12 15:04:56
San Juan County,2020-04-05,1,1,0,0,0,0,0,2020/07/12 15:04:56
San Juan County,2020-04-12,1,0,0,1,0,0,0,2020/07/12 15:04:56
San Juan County,2020-06-07,1,0,1,0,0,0,0,2020/07/12 15:04:56
San Juan County,2020-06-14,2,1,0,0,0,1,0,2020/07/12 15:04:56
San Juan County,2020-06-21,1,0,1,0,0,0,0,2020/07/12 15:04:56
San Juan County,2020-06-28,1,0,0,0,1,0,0,2020/07/12 15:04:56
Skagit County,2020-02-16,1,0,0,1,0,0,0,2020/07/12 15:04:56
Skagit County,2020-02-23,1,0,1,0,0,0,0,2020/07/12 15:04:56
Skagit County,2020-03-01,8,0,3,2,2,1,0,2020/07/12 15:04:56
Skagit County,2020-03-08,43,1,8,11,20,3,0,2020/07/12 15:04:56
Skagit County,2020-03-15,48,3,9,20,13,3,0,2020/07/12 15:04:56
Skagit County,2020-03-22,43,3,13,13,9,5,0,2020/07/12 15:04:56
Skagit County,2020-03-29,42,0,8,12,14,8,0,2020/07/12 15:04:56
Skagit County,2020-04-05,44,3,13,21,7,0,0,2020/07/12 15:04:56
Skagit County,2020-04-12,54,4,17,12,16,5,0,2020/07/12 15:04:56
Skagit County,2020-04-19,66,10,25,25,5,1,0,2020/07/12 15:04:56
Skagit County,2020-04-26,42,7,19,13,3,0,0,2020/07/12 15:04:56
Skagit County,2020-05-03,26,1,9,15,0,1,0,2020/07/12 15:04:56
Skagit County,2020-05-10,11,4,2,3,2,0,0,2020/07/12 15:04:56
Skagit County,2020-05-17,2,0,2,0,0,0,0,2020/07/12 15:04:56
Skagit County,2020-05-24,13,2,7,4,0,0,0,2020/07/12 15:04:56
Skagit County,2020-05-31,11,3,5,3,0,0,0,2020/07/12 15:04:56
Skagit County,2020-06-07,20,1,8,8,3,0,0,2020/07/12 15:04:56
Skagit County,2020-06-14,20,5,11,4,0,0,0,2020/07/12 15:04:56
Skagit County,2020-06-21,29,4,12,11,2,0,0,2020/07/12 15:04:56
Skagit County,2020-06-28,45,7,16,10,4,8,0,2020/07/12 15:04:56
Skagit County,2020-07-05,36,7,14,9,5,1,0,2020/07/12 15:04:56
Skamania County,2020-03-22,2,0,0,1,1,0,0,2020/07/12 15:04:56
Skamania County,2020-04-05,1,0,0,0,1,0,0,2020/07/12 15:04:56
Skamania County,2020-06-14,1,0,1,0,0,0,0,2020/07/12 15:04:56
Skamania County,2020-06-21,6,0,1,2,2,1,0,2020/07/12 15:04:56
Skamania County,2020-06-28,10,3,6,1,0,0,0,2020/07/12 15:04:56
Skamania County,2020-07-05,3,0,1,2,0,0,0,2020/07/12 15:04:56
Snohomish County,2020-01-16,1,0,1,0,0,0,0,2020/07/12 15:04:56
Snohomish County,2020-01-26,2,0,1,1,0,0,0,2020/07/12 15:04:56
Snohomish County,2020-02-02,6,0,1,2,1,2,0,2020/07/12 15:04:56
Snohomish County,2020-02-09,4,0,1,2,1,0,0,2020/07/12 15:04:56
Snohomish County,2020-02-16,20,1,3,9,6,1,0,2020/07/12 15:04:56
Snohomish County,2020-02-23,51,1,11,15,17,7,0,2020/07/12 15:04:56
Snohomish County,2020-03-01,200,3,36,69,69,22,1,2020/07/12 15:04:56
Snohomish County,2020-03-08,343,5,85,141,85,27,0,2020/07/12 15:04:56
Snohomish County,2020-03-15,494,6,159,192,112,25,0,2020/07/12 15:04:56
Snohomish County,2020-03-22,427,16,145,166,78,22,0,2020/07/12 15:04:56
Snohomish County,2020-03-29,301,15,100,98,54,34,0,2020/07/12 15:04:56
Snohomish County,2020-04-05,216,9,71,81,41,14,0,2020/07/12 15:04:56
Snohomish County,2020-04-12,202,16,63,55,42,26,0,2020/07/12 15:04:56
Snohomish County,2020-04-19,195,10,58,73,29,25,0,2020/07/12 15:04:56
Snohomish County,2020-04-26,186,14,57,59,27,29,0,2020/07/12 15:04:56
Snohomish County,2020-05-03,114,6,43,35,24,6,0,2020/07/12 15:04:56
Snohomish County,2020-05-10,99,9,34,22,11,23,0,2020/07/12 15:04:56
Snohomish County,2020-05-17,94,6,27,25,21,15,0,2020/07/12 15:04:56
Snohomish County,2020-05-24,58,7,21,20,10,0,0,2020/07/12 15:04:56
Snohomish County,2020-05-31,82,13,28,28,12,1,0,2020/07/12 15:04:56
Snohomish County,2020-06-07,110,17,39,30,16,8,0,2020/07/12 15:04:56
Snohomish County,2020-06-14,172,40,63,47,14,8,0,2020/07/12 15:04:56
Snohomish County,2020-06-21,220,37,111,40,30,2,0,2020/07/12 15:04:56
Snohomish County,2020-06-28,218,55,100,44,18,1,0,2020/07/12 15:04:56
Snohomish County,2020-07-05,151,35,68,33,11,4,0,2020/07/12 15:04:56
Spokane County,2020-02-16,1,0,0,0,1,0,0,2020/07/12 15:04:56
Spokane County,2020-02-23,1,0,0,0,0,1,0,2020/07/12 15:04:56
Spokane County,2020-03-01,9,0,4,3,2,0,0,2020/07/12 15:04:56
Spokane County,2020-03-08,38,0,8,12,17,1,0,2020/07/12 15:04:56
Spokane County,2020-03-15,90,1,19,39,27,4,0,2020/07/12 15:04:56
Spokane County,2020-03-22,72,2,23,24,17,6,0,2020/07/12 15:04:56
Spokane County,2020-03-29,44,3,10,13,15,3,0,2020/07/12 15:04:56
Spokane County,2020-04-05,31,0,6,7,7,11,0,2020/07/12 15:04:56
Spokane County,2020-04-12,32,0,8,10,6,8,0,2020/07/12 15:04:56
Spokane County,2020-04-19,42,4,15,8,10,5,0,2020/07/12 15:04:56
Spokane County,2020-04-26,21,0,5,5,6,5,0,2020/07/12 15:04:56
Spokane County,2020-05-03,16,7,3,3,2,1,0,2020/07/12 15:04:56
Spokane County,2020-05-10,44,7,17,17,3,0,0,2020/07/12 15:04:56
Spokane County,2020-05-17,109,18,53,22,12,4,0,2020/07/12 15:04:56
Spokane County,2020-05-24,99,15,59,19,5,1,0,2020/07/12 15:04:56
Spokane County,2020-05-31,134,32,52,28,15,7,0,2020/07/12 15:04:56
Spokane County,2020-06-07,132,16,69,31,14,2,0,2020/07/12 15:04:56
Spokane County,2020-06-14,204,34,99,43,23,5,0,2020/07/12 15:04:56
Spokane County,2020-06-21,399,58,229,81,28,3,0,2020/07/12 15:04:56
Spokane County,2020-06-28,365,47,193,87,26,12,0,2020/07/12 15:04:56
Spokane County,2020-07-05,180,25,86,46,15,8,0,2020/07/12 15:04:56
Stevens County,2020-03-01,1,0,0,1,0,0,0,2020/07/12 15:04:56
Stevens County,2020-03-08,1,0,0,0,1,0,0,2020/07/12 15:04:56
Stevens County,2020-03-22,4,0,0,1,3,0,0,2020/07/12 15:04:56
Stevens County,2020-03-29,1,0,0,0,1,0,0,2020/07/12 15:04:56
Stevens County,2020-04-12,2,1,0,0,1,0,0,2020/07/12 15:04:56
Stevens County,2020-05-10,1,0,0,1,0,0,0,2020/07/12 15:04:56
Stevens County,2020-05-17,2,0,0,2,0,0,0,2020/07/12 15:04:56
Stevens County,2020-05-24,1,0,0,1,0,0,0,2020/07/12 15:04:56
Stevens County,2020-05-31,1,0,0,1,0,0,0,2020/07/12 15:04:56
Stevens County,2020-06-07,2,1,0,1,0,0,0,2020/07/12 15:04:56
Stevens County,2020-06-14,2,0,0,1,1,0,0,2020/07/12 15:04:56
Stevens County,2020-06-21,3,0,1,0,2,0,0,2020/07/12 15:04:56
Stevens County,2020-06-28,2,0,1,1,0,0,0,2020/07/12 15:04:56
Stevens County,2020-07-05,4,1,2,1,0,0,0,2020/07/12 15:04:56
Thurston County,2020-02-23,1,0,0,1,0,0,0,2020/07/12 15:04:56
Thurston County,2020-03-01,4,0,0,3,1,0,0,2020/07/12 15:04:56
Thurston County,2020-03-08,17,0,4,6,6,1,0,2020/07/12 15:04:56
Thurston County,2020-03-15,15,0,1,6,8,0,0,2020/07/12 15:04:56
Thurston County,2020-03-22,31,1,6,11,12,1,0,2020/07/12 15:04:56
Thurston County,2020-03-29,16,1,6,6,3,0,0,2020/07/12 15:04:56
Thurston County,2020-04-05,10,0,4,4,2,0,0,2020/07/12 15:04:56
Thurston County,2020-04-12,12,1,2,6,3,0,0,2020/07/12 15:04:56
Thurston County,2020-04-19,8,1,1,4,1,1,0,2020/07/12 15:04:56
Thurston County,2020-04-26,5,3,0,1,1,0,0,2020/07/12 15:04:56
Thurston County,2020-05-03,5,0,2,2,0,1,0,2020/07/12 15:04:56
Thurston County,2020-05-10,3,0,0,2,1,0,0,2020/07/12 15:04:56
Thurston County,2020-05-17,6,0,1,3,2,0,0,2020/07/12 15:04:56
Thurston County,2020-05-24,28,1,5,9,7,6,0,2020/07/12 15:04:56
Thurston County,2020-05-31,26,0,7,9,4,6,0,2020/07/12 15:04:56
Thurston County,2020-06-07,19,1,7,6,1,4,0,2020/07/12 15:04:56
Thurston County,2020-06-14,21,4,9,6,2,0,0,2020/07/12 15:04:56
Thurston County,2020-06-21,43,5,24,8,6,0,0,2020/07/12 15:04:56
Thurston County,2020-06-28,43,8,18,11,6,0,0,2020/07/12 15:04:56
Thurston County,2020-07-05,39,7,12,14,5,0,1,2020/07/12 15:04:56
Wahkiakum County,2020-03-15,1,0,0,1,0,0,0,2020/07/12 15:04:56
Wahkiakum County,2020-03-22,1,0,0,1,0,0,0,2020/07/12 15:04:56
Wahkiakum County,2020-05-03,2,0,0,1,1,0,0,2020/07/12 15:04:56
Wahkiakum County,2020-06-14,1,0,0,1,0,0,0,2020/07/12 15:04:56
Walla Walla County,2020-03-08,1,0,0,1,0,0,0,2020/07/12 15:04:56
Walla Walla County,2020-03-15,2,0,1,0,1,0,0,2020/07/12 15:04:56
Walla Walla County,2020-03-22,5,0,2,2,1,0,0,2020/07/12 15:04:56
Walla Walla County,2020-03-29,11,1,4,4,2,0,0,2020/07/12 15:04:56
Walla Walla County,2020-04-05,16,0,8,4,4,0,0,2020/07/12 15:04:56
Walla Walla County,2020-04-12,13,1,5,6,1,0,0,2020/07/12 15:04:56
Walla Walla County,2020-04-19,29,3,7,10,8,1,0,2020/07/12 15:04:56
Walla Walla County,2020-04-26,18,3,11,4,0,0,0,2020/07/12 15:04:56
Walla Walla County,2020-05-03,7,0,4,1,0,2,0,2020/07/12 15:04:56
Walla Walla County,2020-05-10,6,1,0,2,0,3,0,2020/07/12 15:04:56
Walla Walla County,2020-05-17,2,0,0,2,0,0,0,2020/07/12 15:04:56
Walla Walla County,2020-05-24,3,1,1,0,1,0,0,2020/07/12 15:04:56
Walla Walla County,2020-05-31,10,1,1,6,2,0,0,2020/07/12 15:04:56
Walla Walla County,2020-06-07,13,0,7,4,2,0,0,2020/07/12 15:04:56
Walla Walla County,2020-06-14,18,3,8,5,2,0,0,2020/07/12 15:04:56
Walla Walla County,2020-06-21,30,2,15,8,4,1,0,2020/07/12 15:04:56
Walla Walla County,2020-06-28,19,1,13,2,3,0,0,2020/07/12 15:04:56
Walla Walla County,2020-07-05,16,3,5,5,2,1,0,2020/07/12 15:04:56
Whatcom County,2020-02-16,1,0,0,0,1,0,0,2020/07/12 15:04:56
Whatcom County,2020-02-23,1,0,0,1,0,0,0,2020/07/12 15:04:56
Whatcom County,2020-03-01,6,0,0,2,3,1,0,2020/07/12 15:04:56
Whatcom County,2020-03-08,27,1,8,8,5,5,0,2020/07/12 15:04:56
Whatcom County,2020-03-15,72,1,22,20,12,17,0,2020/07/12 15:04:56
Whatcom County,2020-03-22,84,1,20,27,20,16,0,2020/07/12 15:04:56
Whatcom County,2020-03-29,62,4,15,13,10,20,0,2020/07/12 15:04:56
Whatcom County,2020-04-05,22,1,4,3,9,5,0,2020/07/12 15:04:56
Whatcom County,2020-04-12,12,0,6,1,2,3,0,2020/07/12 15:04:56
Whatcom County,2020-04-19,12,2,4,4,2,0,0,2020/07/12 15:04:56
Whatcom County,2020-04-26,23,5,13,2,1,2,0,2020/07/12 15:04:56
Whatcom County,2020-05-03,16,3,3,3,3,4,0,2020/07/12 15:04:56
Whatcom County,2020-05-10,20,3,10,5,2,0,0,2020/07/12 15:04:56
Whatcom County,2020-05-17,21,6,10,3,1,1,0,2020/07/12 15:04:56
Whatcom County,2020-05-24,23,9,7,7,0,0,0,2020/07/12 15:04:56
Whatcom County,2020-05-31,33,12,15,3,2,1,0,2020/07/12 15:04:56
Whatcom County,2020-06-07,35,5,20,8,2,0,0,2020/07/12 15:04:56
Whatcom County,2020-06-14,87,17,29,22,17,2,0,2020/07/12 15:04:56
Whatcom County,2020-06-21,84,26,27,21,10,0,0,2020/07/12 15:04:56
Whatcom County,2020-06-28,39,9,18,8,4,0,0,2020/07/12 15:04:56
Whatcom County,2020-07-05,30,3,13,9,4,1,0,2020/07/12 15:04:56
Whitman County,2020-03-08,1,0,1,0,0,0,0,2020/07/12 15:04:56
Whitman County,2020-03-15,4,0,1,2,1,0,0,2020/07/12 15:04:56
Whitman County,2020-03-22,3,1,0,2,0,0,0,2020/07/12 15:04:56
Whitman County,2020-03-29,4,0,2,2,0,0,0,2020/07/12 15:04:56
Whitman County,2020-04-12,3,0,2,0,0,1,0,2020/07/12 15:04:56
Whitman County,2020-04-19,1,0,1,0,0,0,0,2020/07/12 15:04:56
Whitman County,2020-05-10,2,0,2,0,0,0,0,2020/07/12 15:04:56
Whitman County,2020-05-17,2,0,2,0,0,0,0,2020/07/12 15:04:56
Whitman County,2020-05-31,6,2,2,1,1,0,0,2020/07/12 15:04:56
Whitman County,2020-06-07,2,1,1,0,0,0,0,2020/07/12 15:04:56
Whitman County,2020-06-14,4,0,1,3,0,0,0,2020/07/12 15:04:56
Whitman County,2020-06-21,5,0,2,1,2,0,0,2020/07/12 15:04:56
Whitman County,2020-06-28,7,0,5,2,0,0,0,2020/07/12 15:04:56
Whitman County,2020-07-05,1,1,0,0,0,0,0,2020/07/12 15:04:56
Yakima County,2020-01-16,1,0,1,0,0,0,0,2020/07/12 15:04:56
Yakima County,2020-02-09,3,0,1,1,1,0,0,2020/07/12 15:04:56
Yakima County,2020-02-16,2,0,0,2,0,0,0,2020/07/12 15:04:56
Yakima County,2020-03-01,14,0,0,4,9,1,0,2020/07/12 15:04:56
Yakima County,2020-03-08,23,1,10,6,6,0,0,2020/07/12 15:04:56
Yakima County,2020-03-15,74,3,32,23,12,4,0,2020/07/12 15:04:56
Yakima County,2020-03-22,157,2,41,55,37,21,1,2020/07/12 15:04:56
Yakima County,2020-03-29,235,16,62,75,62,20,0,2020/07/12 15:04:56
Yakima County,2020-04-05,239,14,81,81,49,14,0,2020/07/12 15:04:56
Yakima County,2020-04-12,241,29,87,71,40,14,0,2020/07/12 15:04:56
Yakima County,2020-04-19,288,22,103,104,43,16,0,2020/07/12 15:04:56
Yakima County,2020-04-26,406,38,140,136,58,33,1,2020/07/12 15:04:56
Yakima County,2020-05-03,524,58,206,168,58,34,0,2020/07/12 15:04:56
Yakima County,2020-05-10,649,71,278,213,73,14,0,2020/07/12 15:04:56
Yakima County,2020-05-17,680,85,298,203,84,10,0,2020/07/12 15:04:56
Yakima County,2020-05-24,759,96,324,227,105,7,0,2020/07/12 15:04:56
Yakima County,2020-05-31,918,131,411,274,87,15,0,2020/07/12 15:04:56
Yakima County,2020-06-07,795,112,325,222,94,42,0,2020/07/12 15:04:56
Yakima County,2020-06-14,766,135,326,195,87,23,0,2020/07/12 15:04:56
Yakima County,2020-06-21,659,106,274,174,63,42,0,2020/07/12 15:04:56
Yakima County,2020-06-28,466,69,196,131,40,30,0,2020/07/12 15:04:56
Yakima County,2020-07-05,223,36,103,54,26,4,0,2020/07/12 15:04:56
Unassigned,2020-04-12,1,0,0,0,1,0,0,2020/07/12 15:04:56
Unassigned,2020-04-19,1,0,0,1,0,0,0,2020/07/12 15:04:56
Unassigned,2020-05-10,1,0,0,1,0,0,0,2020/07/12 15:04:56
Unassigned,2020-05-17,7,0,3,4,0,0,0,2020/07/12 15:04:56
Unassigned,2020-05-24,5,0,3,2,0,0,0,2020/07/12 15:04:56
Unassigned,2020-05-31,2,0,1,0,0,0,1,2020/07/12 15:04:56
Unassigned,2020-06-07,3,0,2,1,0,0,0,2020/07/12 15:04:56
Unassigned,2020-06-14,10,0,8,1,0,0,1,2020/07/12 15:04:56
Unassigned,2020-06-21,24,1,11,7,5,0,0,2020/07/12 15:04:56
Unassigned,2020-06-28,26,1,14,5,3,3,0,2020/07/12 15:04:56
Unassigned,2020-07-05,57,7,27,14,7,2,0,2020/07/12 15:04:56
