Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/19/20,Hampton,20-29,183,3,0
7/19/20,Central Shenandoah,40-49,392,15,0
7/19/20,Pittsylvania-Danville,0-9,13,0,0
7/19/20,Crater,30-39,316,9,0
7/19/20,Virginia Beach,70-79,122,30,9
7/19/20,Virginia Beach,30-39,500,13,0
7/19/20,Piedmont,0-9,24,0,0
7/19/20,Central Shenandoah,30-39,362,7,0
7/19/20,Hampton,50-59,84,9,1
7/19/20,Peninsula,70-79,119,39,12
7/19/20,Arlington,20-29,520,22,0
7/19/20,West Piedmont,70-79,35,14,4
7/19/20,Richmond,20-29,577,16,0
7/19/20,Roanoke,0-9,17,0,0
7/19/20,Hampton,30-39,130,3,0
7/19/20,Thomas Jefferson,30-39,267,9,0
7/19/20,Western Tidewater,40-49,169,6,2
7/19/20,Richmond,50-59,320,55,2
7/19/20,Western Tidewater,50-59,204,15,4
7/19/20,Crater,Missing,14,0,0
7/19/20,Arlington,50-59,401,67,6
7/19/20,Piedmont,70-79,80,26,4
7/19/20,Alexandria,60-69,214,48,2
7/19/20,Portsmouth,30-39,203,9,1
7/19/20,Lenowisco,20-29,16,0,0
7/19/20,Central Virginia,30-39,84,1,0
7/19/20,Norfolk,19-Oct,114,1,0
7/19/20,New River,19-Oct,40,0,0
7/19/20,Central Virginia,20-29,135,2,0
7/19/20,Rappahannock,50-59,428,51,4
7/19/20,Rappahannock,60-69,233,47,6
7/19/20,Piedmont,20-29,183,2,0
7/19/20,New River,60-69,30,5,0
7/19/20,Roanoke,40-49,92,1,0
7/19/20,Three Rivers,20-29,154,4,0
7/19/20,Rappahannock,40-49,501,46,2
7/19/20,Portsmouth,80+,20,8,6
7/19/20,Central Shenandoah,Missing,1,0,0
7/19/20,Eastern Shore,70-79,49,16,9
7/19/20,Mount Rogers,70-79,80,29,13
7/19/20,Cumberland Plateau,70-79,9,1,0
7/19/20,Piedmont,19-Oct,39,0,0
7/19/20,Southside,20-29,67,2,0
7/19/20,Chesterfield,50-59,501,44,4
7/19/20,Rappahannock Rapidan,20-29,311,6,0
7/19/20,Cumberland Plateau,60-69,15,2,0
7/19/20,Roanoke,70-79,17,3,1
7/19/20,Central Shenandoah,20-29,467,9,0
7/19/20,Pittsylvania-Danville,80+,24,8,2
7/19/20,Virginia Beach,80+,118,36,24
7/19/20,Central Shenandoah,50-59,416,34,4
7/19/20,Lenowisco,Missing,0,0,0
7/19/20,Fairfax,30-39,2886,198,6
7/19/20,Lenowisco,60-69,14,5,2
7/19/20,Loudoun,30-39,797,28,0
7/19/20,West Piedmont,80+,24,14,1
7/19/20,Roanoke,80+,43,3,9
7/19/20,Fairfax,40-49,2760,273,10
7/19/20,Thomas Jefferson,80+,125,28,19
7/19/20,Roanoke,20-29,146,3,0
7/19/20,Henrico,60-69,309,51,34
7/19/20,Lord Fairfax,40-49,356,17,1
7/19/20,Western Tidewater,Missing,16,0,0
7/19/20,Chickahominy,60-69,87,21,6
7/19/20,Chesapeake,20-29,348,4,0
7/19/20,Three Rivers,Missing,3,0,0
7/19/20,Henrico,70-79,229,51,43
7/19/20,Western Tidewater,20-29,173,4,0
7/19/20,Peninsula,0-9,79,0,0
7/19/20,Loudoun,40-49,870,58,1
7/19/20,Pittsylvania-Danville,30-39,50,1,0
7/19/20,Loudoun,20-29,758,10,0
7/19/20,Crater,60-69,265,52,16
7/19/20,Loudoun,80+,214,53,73
7/19/20,Arlington,80+,203,84,69
7/19/20,Virginia Beach,19-Oct,146,0,0
7/19/20,Mount Rogers,80+,83,29,21
7/19/20,Eastern Shore,80+,50,22,19
7/19/20,Crater,19-Oct,78,0,0
7/19/20,Lenowisco,30-39,10,1,1
7/19/20,Norfolk,Missing,29,1,0
7/19/20,Henrico,Missing,34,1,1
7/19/20,New River,40-49,50,3,0
7/19/20,Central Virginia,0-9,12,0,0
7/19/20,New River,70-79,21,8,4
7/19/20,Loudoun,0-9,167,4,0
7/19/20,Central Virginia,70-79,32,4,2
7/19/20,Southside,0-9,7,0,0
7/19/20,Three Rivers,40-49,171,12,2
7/19/20,Chickahominy,30-39,106,3,0
7/19/20,Central Shenandoah,60-69,297,47,13
7/19/20,Western Tidewater,60-69,182,20,7
7/19/20,Cumberland Plateau,30-39,19,1,0
7/19/20,Portsmouth,19-Oct,56,0,0
7/19/20,Chesterfield,Missing,101,0,0
7/19/20,Alexandria,40-49,468,41,0
7/19/20,Thomas Jefferson,70-79,95,22,5
7/19/20,Three Rivers,30-39,182,3,0
7/19/20,Western Tidewater,70-79,111,23,19
7/19/20,Arlington,60-69,293,82,19
7/19/20,Cumberland Plateau,19-Oct,27,0,0
7/19/20,West Piedmont,30-39,110,4,0
7/19/20,Peninsula,19-Oct,115,1,0
7/19/20,Lenowisco,19-Oct,10,0,0
7/19/20,Chesapeake,0-9,48,1,0
7/19/20,Peninsula,50-59,233,24,3
7/19/20,Cumberland Plateau,Missing,0,0,0
7/19/20,Peninsula,60-69,176,31,3
7/19/20,Lord Fairfax,30-39,379,11,1
7/19/20,Virginia Beach,Missing,63,0,0
7/19/20,Arlington,40-49,454,51,8
7/19/20,West Piedmont,19-Oct,86,0,0
7/19/20,Chickahominy,70-79,64,21,6
7/19/20,Pittsylvania-Danville,20-29,53,0,0
7/19/20,Loudoun,50-59,708,62,3
7/19/20,Richmond,30-39,549,29,1
7/19/20,Thomas Jefferson,Missing,2,0,0
7/19/20,Rappahannock Rapidan,80+,28,16,8
7/19/20,Lord Fairfax,Missing,2,0,0
7/19/20,Cumberland Plateau,50-59,17,2,0
7/19/20,Loudoun,Missing,68,0,1
7/19/20,Southside,50-59,76,10,0
7/19/20,Chesterfield,20-29,644,9,0
7/19/20,Norfolk,70-79,79,29,6
7/19/20,Alleghany,19-Oct,88,0,0
7/19/20,Crater,80+,125,24,12
7/19/20,Portsmouth,Missing,20,0,0
7/19/20,Western Tidewater,19-Oct,52,0,0
7/19/20,Chesterfield,19-Oct,345,0,0
7/19/20,Southside,60-69,68,15,5
7/19/20,West Piedmont,0-9,22,1,0
7/19/20,Rappahannock Rapidan,70-79,46,14,8
7/19/20,Central Shenandoah,70-79,147,44,13
7/19/20,Chesapeake,30-39,333,13,0
7/19/20,Chickahominy,0-9,16,0,0
7/19/20,Prince William,0-9,384,10,0
7/19/20,Eastern Shore,50-59,276,20,5
7/19/20,Mount Rogers,50-59,138,9,1
7/19/20,Loudoun,19-Oct,644,0,0
7/19/20,Southside,80+,83,12,13
7/19/20,Central Virginia,80+,26,2,0
7/19/20,Rappahannock,Missing,23,0,0
7/19/20,Rappahannock Rapidan,30-39,346,18,1
7/19/20,New River,50-59,44,4,0
7/19/20,Richmond,80+,40,21,9
7/19/20,Mount Rogers,20-29,153,0,0
7/19/20,Eastern Shore,20-29,199,6,0
7/19/20,Hampton,19-Oct,45,0,0
7/19/20,Portsmouth,0-9,33,3,0
7/19/20,Crater,70-79,157,40,18
7/19/20,Chesterfield,40-49,643,24,3
7/19/20,Alexandria,Missing,11,0,0
7/19/20,Southside,30-39,80,4,0
7/19/20,Prince William,Missing,155,3,0
7/19/20,Hampton,60-69,65,11,2
7/19/20,Fairfax,20-29,2401,87,3
7/19/20,Thomas Jefferson,0-9,61,1,0
7/19/20,Lenowisco,40-49,11,2,0
7/19/20,Central Virginia,19-Oct,73,1,0
7/19/20,Lenowisco,70-79,15,6,1
7/19/20,Virginia Beach,0-9,79,0,0
7/19/20,Lenowisco,50-59,27,6,1
7/19/20,Chesapeake,70-79,98,31,3
7/19/20,Western Tidewater,80+,156,29,35
7/19/20,Thomas Jefferson,19-Oct,96,2,0
7/19/20,Richmond,40-49,418,31,3
7/19/20,Lord Fairfax,50-59,373,31,3
7/19/20,Lord Fairfax,19-Oct,170,1,0
7/19/20,Rappahannock Rapidan,19-Oct,150,3,0
7/19/20,Crater,50-59,320,36,3
7/19/20,Arlington,Missing,11,1,0
7/19/20,Roanoke,50-59,61,1,0
7/19/20,Rappahannock,19-Oct,279,3,0
7/19/20,Roanoke,19-Oct,67,0,0
7/19/20,Eastern Shore,Missing,6,0,0
7/19/20,Mount Rogers,Missing,1,0,0
7/19/20,Prince William,60-69,823,169,43
7/19/20,Alleghany,70-79,67,8,7
7/19/20,Crater,20-29,286,9,0
7/19/20,Loudoun,60-69,269,53,7
7/19/20,Fairfax,0-9,523,20,0
7/19/20,Roanoke,Missing,4,0,0
7/19/20,Alexandria,20-29,417,10,1
7/19/20,Portsmouth,70-79,46,13,5
7/19/20,Alleghany,30-39,97,2,0
7/19/20,Prince William,20-29,1797,55,0
7/19/20,Southside,70-79,67,11,14
7/19/20,Piedmont,Missing,2,0,0
7/19/20,Rappahannock,0-9,125,2,0
7/19/20,Henrico,30-39,522,19,0
7/19/20,Prince William,19-Oct,878,8,0
7/19/20,Chickahominy,19-Oct,55,0,0
7/19/20,Lord Fairfax,0-9,69,2,0
7/19/20,Central Virginia,Missing,1,0,0
7/19/20,Fairfax,60-69,1481,333,63
7/19/20,Norfolk,0-9,72,2,0
7/19/20,Cumberland Plateau,40-49,23,1,0
7/19/20,Eastern Shore,19-Oct,61,1,0
7/19/20,Mount Rogers,19-Oct,69,0,0
7/19/20,Rappahannock Rapidan,0-9,87,1,0
7/19/20,Three Rivers,0-9,12,1,0
7/19/20,Henrico,40-49,443,28,2
7/19/20,Alexandria,50-59,324,52,10
7/19/20,Arlington,0-9,56,2,0
7/19/20,Chickahominy,Missing,15,0,0
7/19/20,New River,20-29,100,0,0
7/19/20,Virginia Beach,20-29,699,9,0
7/19/20,Chesapeake,50-59,229,27,1
7/19/20,Alleghany,80+,43,10,6
7/19/20,Fairfax,19-Oct,954,30,0
7/19/20,Chesapeake,60-69,153,32,5
7/19/20,West Piedmont,Missing,0,0,0
7/19/20,Peninsula,80+,77,29,18
7/19/20,Crater,40-49,258,17,1
7/19/20,Chesapeake,40-49,247,27,1
7/19/20,Thomas Jefferson,20-29,233,2,0
7/19/20,Lord Fairfax,20-29,394,5,0
7/19/20,Norfolk,20-29,697,6,0
7/19/20,Arlington,30-39,492,43,0
7/19/20,West Piedmont,60-69,72,12,0
7/19/20,Henrico,50-59,381,45,8
7/19/20,West Piedmont,50-59,131,21,1
7/19/20,Cumberland Plateau,20-29,17,0,0
7/19/20,Alexandria,70-79,102,38,18
7/19/20,Portsmouth,20-29,230,11,0
7/19/20,Western Tidewater,30-39,197,12,1
7/19/20,Central Shenandoah,0-9,63,0,0
7/19/20,Henrico,80+,327,68,87
7/19/20,Alexandria,0-9,143,2,0
7/19/20,Pittsylvania-Danville,40-49,79,7,0
7/19/20,Henrico,20-29,455,15,0
7/19/20,Roanoke,60-69,45,3,0
7/19/20,Peninsula,30-39,346,7,1
7/19/20,Alleghany,60-69,72,8,1
7/19/20,Prince William,70-79,330,101,48
7/19/20,Norfolk,60-69,189,33,3
7/19/20,Southside,40-49,68,6,0
7/19/20,Chesterfield,30-39,718,12,0
7/19/20,Loudoun,70-79,152,49,18
7/19/20,Central Virginia,40-49,83,1,0
7/19/20,New River,Missing,0,0,0
7/19/20,Chickahominy,20-29,119,1,0
7/19/20,New River,0-9,8,0,0
7/19/20,Cumberland Plateau,0-9,4,0,0
7/19/20,Three Rivers,70-79,42,9,5
7/19/20,Rappahannock Rapidan,40-49,326,21,2
7/19/20,Hampton,0-9,21,0,0
7/19/20,Piedmont,50-59,204,25,1
7/19/20,Rappahannock,20-29,494,13,0
7/19/20,West Piedmont,20-29,110,2,0
7/19/20,Arlington,70-79,177,73,33
7/19/20,Chickahominy,50-59,134,23,1
7/19/20,Alleghany,40-49,98,2,0
7/19/20,Prince William,50-59,1548,198,15
7/19/20,Mount Rogers,0-9,40,1,0
7/19/20,Eastern Shore,0-9,21,2,0
7/19/20,Thomas Jefferson,60-69,119,25,3
7/19/20,Pittsylvania-Danville,70-79,30,12,1
7/19/20,Chesterfield,80+,157,35,47
7/19/20,Richmond,0-9,112,6,0
7/19/20,Chesapeake,80+,81,27,14
7/19/20,Peninsula,40-49,279,12,1
7/19/20,Henrico,0-9,115,2,0
7/19/20,Lenowisco,80+,6,1,0
7/19/20,Piedmont,60-69,150,22,2
7/19/20,Henrico,19-Oct,222,4,0
7/19/20,Mount Rogers,30-39,140,4,0
7/19/20,Eastern Shore,30-39,239,8,0
7/19/20,Chesterfield,0-9,133,0,0
7/19/20,Central Shenandoah,19-Oct,140,1,0
7/19/20,Crater,0-9,30,1,0
7/19/20,Fairfax,70-79,697,248,115
7/19/20,Rappahannock,80+,98,34,19
7/19/20,Alexandria,19-Oct,190,4,0
7/19/20,Portsmouth,40-49,128,8,0
7/19/20,Three Rivers,50-59,121,10,0
7/19/20,Alleghany,Missing,2,0,0
7/19/20,Alexandria,30-39,584,32,0
7/19/20,Southside,Missing,0,0,0
7/19/20,Portsmouth,60-69,101,22,6
7/19/20,Roanoke,30-39,145,1,0
7/19/20,Three Rivers,60-69,87,14,0
7/19/20,Fairfax,50-59,2327,314,32
7/19/20,Portsmouth,50-59,129,22,2
7/19/20,Chickahominy,80+,83,34,26
7/19/20,Rappahannock Rapidan,50-59,245,29,2
7/19/20,Fairfax,80+,817,302,293
7/19/20,Hampton,Missing,16,0,0
7/19/20,Cumberland Plateau,80+,4,2,0
7/19/20,Alleghany,50-59,96,6,1
7/19/20,Prince William,40-49,2100,164,7
7/19/20,Fairfax,Missing,159,5,0
7/19/20,Virginia Beach,40-49,357,19,1
7/19/20,Richmond,Missing,22,0,0
7/19/20,Norfolk,40-49,274,15,1
7/19/20,Piedmont,80+,54,23,12
7/19/20,Virginia Beach,60-69,228,23,2
7/19/20,West Piedmont,40-49,109,10,2
7/19/20,Arlington,19-Oct,126,5,0
7/19/20,Lenowisco,0-9,4,0,0
7/19/20,Pittsylvania-Danville,50-59,74,14,0
7/19/20,Virginia Beach,50-59,298,18,1
7/19/20,Chesapeake,Missing,44,1,0
7/19/20,Central Shenandoah,80+,125,33,18
7/19/20,Thomas Jefferson,40-49,211,14,0
7/19/20,Rappahannock Rapidan,60-69,135,17,4
7/19/20,Norfolk,30-39,421,16,1
7/19/20,Rappahannock Rapidan,Missing,12,0,0
7/19/20,Lord Fairfax,80+,167,39,44
7/19/20,Three Rivers,19-Oct,43,0,0
7/19/20,Piedmont,40-49,206,11,0
7/19/20,Norfolk,80+,53,13,5
7/19/20,Peninsula,20-29,482,1,0
7/19/20,Norfolk,50-59,227,24,3
7/19/20,Thomas Jefferson,50-59,167,13,2
7/19/20,Richmond,70-79,92,37,14
7/19/20,Chesterfield,70-79,149,31,22
7/19/20,Piedmont,30-39,222,5,0
7/19/20,Prince William,30-39,1892,94,2
7/19/20,Alleghany,20-29,126,1,0
7/19/20,Alleghany,0-9,15,0,0
7/19/20,Mount Rogers,40-49,137,5,1
7/19/20,Eastern Shore,40-49,250,12,2
7/19/20,Central Virginia,60-69,59,4,2
7/19/20,Richmond,19-Oct,211,2,0
7/19/20,Pittsylvania-Danville,60-69,55,10,1
7/19/20,Pittsylvania-Danville,Missing,0,0,0
7/19/20,Chesterfield,60-69,322,51,12
7/19/20,Southside,19-Oct,17,0,0
7/19/20,New River,80+,13,4,2
7/19/20,Central Virginia,50-59,90,2,2
7/19/20,Hampton,70-79,36,8,0
7/19/20,Pittsylvania-Danville,19-Oct,27,0,0
7/19/20,Richmond,60-69,222,53,7
7/19/20,Chickahominy,40-49,105,12,1
7/19/20,Three Rivers,80+,40,8,4
7/19/20,Rappahannock,30-39,528,25,0
7/19/20,Lord Fairfax,60-69,250,52,14
7/19/20,Western Tidewater,0-9,20,0,0
7/19/20,Rappahannock,70-79,119,35,15
7/19/20,Prince William,80+,244,82,74
7/19/20,Hampton,80+,16,2,1
7/19/20,Alexandria,80+,94,28,25
7/19/20,Mount Rogers,60-69,116,12,0
7/19/20,Eastern Shore,60-69,179,29,8
7/19/20,Lord Fairfax,70-79,150,44,17
7/19/20,New River,30-39,37,1,0
7/19/20,Chesapeake,19-Oct,104,1,0
7/19/20,Hampton,40-49,105,6,0
7/19/20,Peninsula,Missing,18,0,0